0,0
1784,1855
38892,36432
716,521
860,614
213,195
2427,1987
560,570
1296,1271
65,77
479,476
1765,1667
78,75
0,0
1847,1952
111,111
0,0
0,0
503,503
330,363
273,258
355,349
32,27
333,313
11,11
0,0
48,46
20159,19080
5515,5187
2,1
0,0
0,0
462,352
0,0
452,426
283303,287133
5092,4891
5465,5460
6621,6727
22956,22445
3900,3897
6536,6556
615,452
6304,6376
9727,10258
46,48
0,1
10387,10903
3087,3290
2334,3608
0,0
4347,4645
4352,4314
3725,3735
4059,3583
353,389
2733,2571
243,244
0,0
511,486
123680,123567
39138,41108
2345,2358
4520,4790
0,0
3337,3526
0,0
6890,6905
64855,66554
1922,1756
1463,2113
373,355
3451,3391
1086,1120
1676,1674
109,117
1473,1309
1845,1758
295,279
0,0
547,303
346,310
549,526
0,0
1183,1216
649,663
1597,1698
405,420
484,548
1068,1074
237,222
115,125
641,507
29498,29942
9696,9979
654,1260
1794,2098
0,0
415,422
0,0
1284,1369
831947,821827
12262,13658
11770,12708
10468,10544
67393,66880
8455,8058
21829,20881
2427,2289
25344,25667
24864,25930
1459,1462
242,263
46606,46063
14797,15243
47745,51197
0,0
15161,14643
6584,6674
7635,7566
21497,21360
307,316
6452,6265
569,514
10,10
41062,38708
303485,291294
84718,86333
8459,8512
11921,11700
0,0
5842,5864
0,0
22584,21225
297971,284524
6028,5856
4332,4258
665,593
15553,15140
3449,3188
5948,5834
342,306
3691,3749
4000,3882
449,479
0,0
13634,12878
17734,13977
23227,21814
0,0
4494,4285
3337,3142
3613,3510
2579,2685
691,561
3689,3873
1207,1224
138,141
460,474
120092,116614
36605,34397
4969,4696
6575,6296
0,0
2126,2086
0,0
8344,8586
18855,18156
585,591
262,240
344,325
972,974
220,201
293,287
5,5
184,206
1004,933
65,67
0,0
839,845
364,218
0,0
0,0
305,309
143,146
402,402
332,319
227,140
268,263
11,11
0,0
27,35
9057,8799
2560,2377
0,0
0,0
0,0
97,98
0,0
289,365
400421,398407
7191,7178
7207,7009
16611,16466
23022,21592
5598,5708
12939,12196
448,310
7999,7549
13719,12670
1211,1147
27,27
23184,23766
14792,14290
10969,11407
0,0
3046,2932
6520,6417
6046,5353
5450,5119
789,800
6813,6909
1432,1416
130,130
6085,5949
152569,146454
49274,56856
1345,1322
1985,1927
0,0
5257,5422
0,0
8763,10086
122422,120610
2628,2503
2055,2109
1342,1247
6846,6755
1776,1972
4157,3964
145,133
1003,959
6162,5918
253,245
6,15
183,182
1122,1056
8958,9270
0,0
1089,1102
1174,1123
1747,1725
1097,1052
528,469
2649,2648
529,448
94,45
220,206
54656,52136
18855,19581
0,0
0,0
0,0
981,956
0,0
2167,2791
102462,101449
2492,2558
2539,2599
1590,1545
5210,5007
1789,1826
3322,3005
331,346
3345,3122
3980,4283
242,236
198,198
877,800
3235,3042
1978,2172
0,0
474,381
1899,1739
1650,1678
835,784
230,236
2021,1982
922,1114
0,0
2769,2530
35949,36069
14120,13924
1996,1919
3889,3654
0,0
973,984
0,0
3607,3716
349329,343953
7176,7274
7561,8052
13783,14351
19917,18844
2982,3189
5561,5577
391,489
10999,10515
10429,10916
1099,1081
88,88
20212,19609
4885,4755
0,193
0,0
3110,2765
5259,5204
3307,3190
6741,6438
295,334
4980,4384
132,139
9,9
12858,12096
140551,135246
55790,57398
1484,1539
2471,2399
0,0
1334,1269
0,0
5925,6610
33029,31962
711,659
616,775
87,112
2229,2167
674,492
2194,2149
136,144
0,0
809,832
0,0
0,0
130,156
133,133
0,0
0,0
259,263
241,391
442,438
575,582
128,129
545,575
11,11
0,0
0,0
18057,17198
4150,3796
0,0
0,0
0,0
314,430
0,0
588,530
144431,143005
2838,2861
2372,1963
2613,2603
8410,8220
1582,1594
3295,3257
184,176
2252,2006
2617,2649
362,358
0,0
273,280
1996,1956
18461,18341
0,0
2385,2381
1713,1638
2133,1959
969,974
169,179
3003,2644
483,436
382,338
276,327
59231,61409
22993,21155
0,0
0,0
0,0
994,957
0,0
2445,2344
24001,23174
933,864
368,364
226,212
1069,1054
310,291
384,375
13,13
445,425
1482,1447
48,49
0,0
188,158
153,150
359,381
0,0
203,209
185,188
294,286
117,106
218,197
393,368
178,175
14,14
12,1
11951,11730
3341,3101
229,179
206,140
0,0
164,165
0,0
518,532
199945,200029
3344,3542
3641,3561
3369,3282
12432,11628
3187,2850
5863,5847
392,401
4398,4838
6543,6619
845,837
11,11
2480,2514
3487,3398
17450,17783
0,0
4227,3948
2032,1832
3712,3611
2435,2499
313,114
4523,4363
5838,5406
2597,2129
801,782
78320,76884
24924,26023
3,2
2,2
0,0
1124,1116
0,0
1652,4207
841539,815375
12808,12244
11258,10980
16258,15793
40906,41754
12844,11690
17908,17530
1432,1410
21137,20929
18994,19181
4245,4471
798,835
2753,2816
16867,17134
42296,41193
0,0
5728,5449
10093,8689
11148,11077
5714,5943
2994,2863
13325,12944
7375,7534
1758,1411
9881,9733
378833,366016
133303,125751
8001,8047
14474,14251
0,0
4611,4437
0,0
13797,13270
59442,58634
1397,1371
1637,1788
908,890
3288,3311
951,932
1237,1238
169,154
1265,984
1629,1596
471,467
0,0
350,313
963,1004
474,678
0,0
542,535
998,946
1256,1119
434,413
378,376
1147,1078
809,805
4,4
1521,1285
27588,27220
8207,8359
0,0
0,0
0,0
534,554
0,0
1285,1214
18252,17660
341,315
383,364
44,38
561,563
159,156
228,221
7,6
0,0
1176,1175
20,18
0,0
0,0
22,20
0,0
0,0
204,103
166,165
111,112
110,103
24,24
201,174
230,241
0,0
118,114
11585,11341
2323,2213
0,0
0,0
0,0
53,51
0,0
186,143
238105,231516
6088,6108
4050,3803
3493,3353
12543,11677
3079,3306
6703,6488
612,619
6248,6149
4539,4243
1474,1640
3,3
6616,6329
5262,4881
2837,2578
0,0
3449,3437
3654,3877
4720,4676
1989,1992
394,397
3643,3655
287,279
340,336
952,1027
109645,107107
33409,32192
603,589
668,602
0,0
2154,2081
0,0
8651,8092
154579,152115
4918,4810
4283,4236
5745,5368
8737,8568
2706,2695
5129,5561
447,433
4160,4167
6322,6776
1425,1258
1292,1319
936,924
2546,2640
6158,5692
0,0
1626,1540
3285,3115
3510,3249
2888,1597
847,825
3399,3225
7477,7338
35,35
5549,5875
55407,54867
8305,8484
0,0
0,0
0,0
1787,1721
0,0
5660,5797
56332,56213
1579,1578
1172,1115
867,876
2262,2168
329,372
909,924
48,43
295,318
863,851
160,155
0,0
18,15
1195,1084
1842,2855
0,0
625,626
1068,1107
535,483
547,545
161,125
1540,1410
10,10
0,0
376,354
26710,26179
11982,11752
0,0
0,0
0,0
269,260
0,0
970,1008
184309,175833
2578,2454
3547,3605
3287,3212
10806,10782
2947,2841
3971,3949
299,301
3304,3392
8733,8586
363,364
27,28
10614,10214
4744,4860
1218,1208
0,0
1589,1599
2336,2386
2638,2469
1067,1089
1014,859
2124,2200
674,605
0,0
2168,2175
80626,74445
19679,18539
3501,3404
4345,4040
0,0
1675,1657
0,0
4435,4570
23917,23332
545,585
417,319
276,260
1019,1008
421,424
306,300
18,18
302,285
644,624
100,93
0,0
25,25
191,144
3790,3619
0,0
341,264
140,111
425,402
82,69
306,283
335,311
119,122
0,0
18,16
8648,8537
3515,3565
528,561
818,856
0,0
174,138
0,0
414,393
